iter	RMSE
0	16.93770323
1	16.46402902
2	15.9849948
3	15.5358203
4	15.13065334
5	14.73382322
6	14.37376338
7	14.0291893
8	13.70619283
9	13.43838989
10	13.18214212
11	12.91598306
12	12.65417815
13	12.43333819
14	12.20128497
15	11.99352097
16	11.79069925
17	11.61114465
18	11.4388952
19	11.27381478
20	11.11936036
21	10.97630925
22	10.842614
23	10.71983196
24	10.60309694
25	10.47961825
26	10.37234396
27	10.27018647
28	10.18310593
29	10.09349215
30	10.01356169
31	9.935932875
32	9.864498681
33	9.796842572
34	9.739381421
35	9.670113421
36	9.606865905
37	9.546043013
38	9.515751344
39	9.469033464
40	9.419947553
41	9.376132387
42	9.342432075
43	9.300351562
44	9.261829911
45	9.223783161
46	9.190705109
47	9.154333279
48	9.121039283
49	9.090558435
50	9.070152186
51	9.043803657
52	9.025379552
53	8.999285412
54	8.976010993
55	8.955254801
56	8.930805296
57	8.911338648
58	8.891940359
59	8.870815125
60	8.855860306
61	8.842252696
62	8.830733949
63	8.820793408
64	8.811442213
65	8.795902061
66	8.78502527
67	8.771083559
68	8.763581754
69	8.753462049
70	8.740551323
71	8.729639076
72	8.720146161
73	8.707529317
74	8.701148965
75	8.690910603
76	8.684647945
77	8.67570392
78	8.667016122
79	8.660861106
80	8.652988988
81	8.643115302
82	8.641596349
83	8.634258803
84	8.626153338
85	8.620373316
86	8.61328676
87	8.607356101
88	8.601017611
89	8.595039865
90	8.589033567
91	8.58153959
92	8.575199213
93	8.57223084
94	8.567266216
95	8.559766929
96	8.556089153
97	8.554459759
98	8.551696782
99	8.548815211
100	8.544809235
101	8.539127548
102	8.535668586
103	8.533309114
104	8.529899875
105	8.526219128
106	8.519938617
107	8.515438321
108	8.511266687
109	8.507714466
110	8.503365019
111	8.498212592
112	8.49431682
113	8.491361155
114	8.487823385
115	8.48590802
116	8.481563345
117	8.478922079
118	8.475224605
119	8.472484588
120	8.469913195
121	8.468521737
122	8.465419338
123	8.462822059
124	8.45897964
125	8.454319554
126	8.451273444
127	8.446654985
128	8.444469418
129	8.442564986
130	8.439819739
131	8.438296374
132	8.437817074
133	8.436735364
134	8.433709682
135	8.430676273
136	8.429087355
137	8.426855233
138	8.425495344
139	8.422212367
140	8.420059702
141	8.418051403
142	8.417097358
143	8.415521085
144	8.412745055
145	8.41139297
146	8.4095252
147	8.40779723
148	8.405197051
149	8.40257547
150	8.401139847
151	8.399411448
152	8.397593151
153	8.395903936
154	8.394186995
155	8.39177663
156	8.391715906
157	8.39031539
158	8.388931529
159	8.388744235
160	8.386941505
161	8.385507489
162	8.382804643
163	8.38147245
164	8.379961644
165	8.378716825
166	8.378038068
167	8.37286874
168	8.371558457
169	8.370791457
170	8.369789359
