iter	Passed	Remaining
0	39	19553
1	78	19544
2	122	20231
3	174	21679
4	238	23597
5	296	24396
6	345	24311
7	392	24151
8	439	23990
9	496	24344
10	551	24513
11	607	24705
12	667	24990
13	718	24938
14	770	24910
15	819	24794
16	866	24607
17	913	24467
18	964	24421
19	1018	24432
20	1070	24426
21	1119	24325
22	1173	24345
23	1223	24275
24	1268	24097
25	1362	24834
26	1423	24934
27	1464	24682
28	1510	24525
29	1556	24383
30	1602	24246
31	1650	24132
32	1699	24052
33	1748	23962
34	1795	23850
35	1837	23681
36	1883	23564
37	1932	23494
38	1963	23204
39	2012	23141
40	2058	23048
41	2107	22986
42	2158	22938
43	2205	22859
44	2251	22768
45	2308	22781
46	2353	22687
47	2399	22599
48	2446	22520
49	2493	22445
50	2544	22397
51	2595	22365
52	2649	22347
53	2698	22283
54	2745	22216
55	2792	22140
56	2838	22061
57	2883	21975
58	2935	21941
59	2980	21855
60	3029	21805
61	3076	21734
62	3125	21682
63	3181	21671
64	3231	21629
65	3276	21548
66	3320	21462
67	3367	21394
68	3398	21230
69	3446	21170
70	3490	21091
71	3528	20973
72	3573	20901
73	3622	20854
74	3656	20719
75	3705	20671
76	3749	20599
77	3797	20543
78	3841	20473
79	3888	20415
80	3937	20367
81	3987	20327
82	4013	20166
83	4067	20144
84	4111	20074
85	4158	20019
86	4206	19967
87	4254	19919
88	4301	19864
89	4344	19790
90	4391	19738
91	4435	19669
92	4482	19617
93	4528	19560
94	4578	19517
95	4626	19469
96	4674	19419
97	4712	19330
98	4769	19318
99	4814	19259
100	4859	19197
101	4908	19152
102	4953	19092
103	5001	19043
104	5051	19003
105	5098	18952
106	5146	18902
107	5196	18862
108	5250	18832
109	5301	18795
110	5349	18747
111	5396	18696
112	5444	18646
113	5495	18608
114	5539	18546
115	5587	18496
116	5640	18463
117	5688	18415
118	5731	18349
119	5780	18303
120	5820	18231
121	5864	18170
122	5913	18125
123	5962	18078
124	6010	18031
125	6055	17973
126	6110	17946
127	6160	17902
128	6209	17857
129	6258	17813
130	6309	17773
131	6359	17729
132	6381	17608
133	6405	17495
134	6457	17459
135	6512	17431
136	6567	17402
137	6619	17365
138	6669	17321
139	6723	17288
140	6774	17247
141	6821	17196
142	6864	17136
143	6917	17102
144	6976	17081
145	7023	17030
146	7067	16970
147	7114	16921
148	7165	16879
149	7217	16840
150	7275	16816
151	7313	16743
152	7357	16685
153	7409	16646
154	7455	16594
155	7518	16579
156	7545	16485
157	7601	16454
158	7661	16431
159	7679	16319
160	7727	16271
161	7772	16217
162	7817	16162
163	7863	16109
164	7913	16066
165	7961	16019
166	7994	15940
167	8044	15897
168	8092	15848
169	8140	15802
170	8187	15752
171	8232	15698
172	8280	15650
173	8326	15599
174	8375	15554
175	8421	15503
176	8470	15458
177	8517	15407
178	8569	15367
179	8613	15313
180	8659	15261
181	8704	15208
182	8750	15157
183	8800	15114
184	8852	15073
185	8904	15031
186	8982	15035
187	9025	14977
188	9067	14920
189	9115	14872
190	9164	14826
191	9217	14787
